Date,Open,High,Low,Close,Volume
2020-06-04,0.586,0.59,0.561,0.589,558954
2020-06-05,0.589,0.698,0.575,0.661,578564
2020-06-06,0.661,0.661,0.609,0.625,548267
2020-06-07,0.625,0.626,0.591,0.608,426422
2020-06-08,0.608,0.682,0.608,0.667,550094
2020-06-09,0.667,0.669,0.62,0.658,554349
2020-06-10,0.658,0.67,0.636,0.644,535150
2020-06-11,0.644,0.649,0.567,0.571,577626
2020-06-12,0.571,0.604,0.566,0.591,533666
2020-06-13,0.591,0.612,0.583,0.612,533410
2020-06-14,0.612,0.618,0.576,0.586,570216
2020-06-15,0.586,0.589,0.542,0.567,597241
2020-06-16,0.567,0.589,0.566,0.587,577702
2020-06-17,0.587,0.592,0.562,0.58,564001
2020-06-18,0.58,0.654,0.577,0.618,560691
2020-06-19,0.618,0.848,0.617,0.69,583635
2020-06-20,0.69,0.695,0.623,0.646,591235
2020-06-21,0.646,0.754,0.636,0.665,544917
2020-06-22,0.665,0.752,0.643,0.73,555209
2020-06-23,0.733,0.767,0.697,0.707,534958
2020-06-24,0.707,0.8,0.693,0.74,556412
2020-06-25,0.74,0.76,0.695,0.708,568207
2020-06-26,0.708,0.757,0.679,0.749,533694
2020-06-27,0.749,0.749,0.671,0.71,566285
2020-06-28,0.71,0.846,0.685,0.791,490386
2020-06-29,0.793,0.888,0.769,0.857,575438
2020-06-30,0.857,1.01,0.845,0.867,576219
2020-07-01,0.867,0.904,0.822,0.83,545759
2020-07-02,0.83,0.835,0.742,0.776,528896
2020-07-03,0.776,0.783,0.752,0.766,572779
2020-07-04,0.766,0.829,0.76,0.781,598483
2020-07-05,0.781,0.786,0.628,0.69,518550
2020-07-06,0.69,0.707,0.687,0.707,565057
2020-07-07,0.707,0.752,0.707,0.752,552968
2020-07-08,0.752,0.789,0.752,0.789,523590
2020-07-09,0.789,0.855,0.789,0.855,583229
2020-07-10,0.855,0.917,0.855,0.917,563464
2020-07-11,0.917,0.923,0.863,0.923,592403
2020-07-12,0.923,1.011,0.923,1.011,569030
2020-07-13,1.011,1.165,1.011,1.165,581232
2020-07-14,1.165,1.165,1.124,1.156,555009
2020-07-15,1.156,1.296,1.156,1.296,565266
2020-07-16,1.296,1.296,0.835,0.835,574877
2020-07-17,0.835,0.979,0.835,0.979,549754
2020-07-18,0.979,0.979,0.964,0.979,559492
2020-07-19,0.979,0.979,0.923,0.923,576932
2020-07-20,0.923,0.923,0.873,0.873,547727
2020-07-21,0.873,0.973,0.873,0.973,548256
2020-07-22,0.973,1.066,0.973,1.044,566201
2020-07-23,1.044,1.061,1.044,1.061,562422
2020-07-24,1.061,1.061,0.998,0.998,579389
2020-07-25,0.998,1.332,0.998,1.253,547181
2020-07-26,1.253,1.574,1.253,1.574,576107
2020-07-27,1.574,1.816,1.574,1.768,584699
2020-07-28,1.768,1.79,1.719,1.79,546864
2020-07-29,1.789,1.789,1.653,1.653,583159
2020-07-30,1.653,1.752,1.653,1.686,573307
2020-07-31,1.686,1.686,1.538,1.538,550933
2020-08-01,1.538,1.562,1.538,1.539,567987
2020-08-02,1.539,1.745,1.539,1.745,560167
2020-08-03,1.745,1.804,1.733,1.804,560201
2020-08-04,1.804,1.925,1.804,1.862,528786
2020-08-05,1.862,1.862,1.765,1.765,528483
2020-08-06,1.765,2.206,1.765,2.206,558091
2020-08-07,2.206,2.206,2.073,2.073,537242
2020-08-08,2.073,2.475,2.073,2.475,591895
2020-08-09,2.475,2.678,2.475,2.678,533664
2020-08-10,2.678,3.137,2.678,3.137,575045
2020-08-11,3.137,3.243,2.875,3.243,563253
2020-08-12,3.243,3.731,3.243,3.731,558029
2020-08-13,3.731,3.864,3.706,3.711,588293
2020-08-14,3.711,3.711,3.386,3.386,538196
2020-08-15,3.386,3.386,3.196,3.196,560752
2020-08-16,3.196,3.4,3.196,3.4,560853
2020-08-17,3.4,3.4,3.1,3.1,550861
2020-08-18,3.1,3.311,3.1,3.311,605409
2020-08-19,3.311,3.311,2.9,2.9,541631
2020-08-20,2.9,3.217,2.9,3.217,578719
2020-08-21,3.217,3.219,2.948,2.948,420988
2020-08-22,2.948,3.036,2.834,3.036,544169
2020-08-23,3.036,3.363,3.036,3.319,565286
2020-08-24,3.319,3.383,3.319,3.383,569313
2020-08-25,3.383,3.383,3.181,3.261,550502
2020-08-26,3.261,3.689,3.261,3.564,565943
2020-08-27,3.564,3.564,3.371,3.427,532270
2020-08-28,3.427,4.019,3.427,4.019,560244
